ticker,volume,volume_weighted_avg_price,open_price,close_price,highest_price,lowest_price,um_timestamp,transactions,market_close,market
TACT,15476.0,4.0112,4.15,4.06,4.15,3.91,1734123600000,118.0,2024-12-13,NYSE
RAYE,1916.0,25.5567,25.5057,25.5532,25.58,25.5057,1734123600000,17.0,2024-12-13,NYSE
FLSP,764652.0,24.0231,23.96,24.0558,24.1493,23.95,1734123600000,102.0,2024-12-13,NYSE
TAVIU,28955.0,9.998,10.0,9.9992,10.0,9.9901,1734123600000,24.0,2024-12-13,NYSE
SPUC,5843.0,44.3538,44.61,44.3828,44.61,44.22,1734123600000,53.0,2024-12-13,NYSE
FORA,10549.0,2.0257,2.01,2.04,2.04,2.009,1734123600000,75.0,2024-12-13,NYSE
CEAD,8497.0,8.2983,8.25,8.0974,8.49,8.0974,1734123600000,113.0,2024-12-13,NYSE
FLNT,16465.0,2.8243,2.785,2.82,2.91,2.6501,1734123600000,139.0,2024-12-13,NYSE
DDEC,10266.0,40.2255,40.2332,40.223,40.27,40.17,1734123600000,65.0,2024-12-13,NYSE
DEUS,4046.0,56.1616,56.1378,56.0981,56.2878,56.02,1734123600000,44.0,2024-12-13,NYSE
DAX,37051.0,34.842,34.795,34.83,34.88,34.72,1734123600000,231.0,2024-12-13,NYSE
BARK.WS,31578.0,0.07245,0.0812,0.089,0.0918,0.062,1734123600000,41.0,2024-12-13,NYSE
LIDRW,57301.0,0.01553,0.018,0.013,0.018,0.013,1734123600000,15.0,2024-12-13,NYSE
DYAI,34183.0,1.5787,1.5996,1.63,1.63,1.5013,1734123600000,141.0,2024-12-13,NYSE
BLFY,26551.0,10.5441,10.6591,10.6,10.6591,10.44,1734123600000,731.0,2024-12-13,NYSE
BFIX,3791.0,25.0181,25.03,25.0,25.03,25.0,1734123600000,33.0,2024-12-13,NYSE
QLTI,6733.0,23.6611,23.705,23.6972,23.71,23.63,1734123600000,34.0,2024-12-13,NYSE
IBAC,871.0,10.128,10.125,10.125,10.125,10.125,1734123600000,8.0,2024-12-13,NYSE
